STORECODE|STORENAME|BRAND|ZONE|REGION|DISTRICT|STORETYPE|STORESTATUS|CITY|STATE
TMW_4123|#4123Lakeport Commons|TMW|TMW_W|TMW_W2|TMW_W205|Brick & Mortar|Open|Sioux City|IA
TMW_5438|#5438Eatontown Center|TMW|TMW_N|TMW_N4|TMW_N407|Brick & Mortar|Open|Eatontown|NJ
TMW_4611|#4611Northpoint Shopping Center|TMW|TMW_W|TMW_W4|TMW_W401|Brick & Mortar|Open|Arlington Heights|IL
TMW_2163|#2163Marina Square Center|TMW|TMW_W|TMW_W1|TMW_W101|Brick & Mortar|Open|San Leandro|CA
TMW_1103|#1103 Pasadena, Tx|TMW|TMW_S|TMW_S5|TMW_S503|Brick & Mortar|Open|Pasadena|TX
TMW_1207|#1207 Market Heights|TMW|TMW_S|TMW_S5|TMW_S501|Brick & Mortar|Open|Harker Heights|TX
TMW_3302|#3302Colonial Plaza Marketplace|TMW|TMW_S|TMW_S2|TMW_S201|Brick & Mortar|Open|Orlando|FL
TMW_2153|#2153Pacific Commons|TMW|TMW_W|TMW_W1|TMW_W101|Brick & Mortar|Open|Fremont|CA
TMW_4108|#4108Apache Mall|TMW|TMW_W|TMW_W4|TMW_W404|Brick & Mortar|Open|Rochester|MN
TMW_2273|#2273 Stockton, Ca|TMW|TMW_W|TMW_W1|TMW_W103|Brick & Mortar|Open|Stockton|CA
TMW_2178|#2178Solano Mall|TMW|TMW_W|TMW_W1|TMW_W103|Brick & Mortar|Open|Fairfield|CA
TMW_2668|#2668 Salt Lake City, Ut|TMW|TMW_W|TMW_W3|TMW_W301|Brick & Mortar|Open|Salt Lake City|UT
TMW_3539|#3539Creeks at Virginia Centre|TMW|TMW_S|TMW_S1|TMW_S104|Brick & Mortar|Open|Glen Allen|VA
TMW_2301|#2301Mira Mesa Market Center|TMW|TMW_W|TMW_W1|TMW_W105|Brick & Mortar|Open|San Diego|CA
TMW_4208|#4208West Village|TMW|TMW_N|TMW_N1|TMW_N106|Brick & Mortar|Open|Dearborn|MI
TMW_2710|#2710Oxnard Auto Center|TMW|TMW_W|TMW_W1|TMW_W102|Brick & Mortar|Open|Oxnard|CA
TMW_5228|#5228 Bala Cynwyd Sc|TMW|TMW_N|TMW_N4|TMW_N406|Brick & Mortar|Open|Bala Cynwyd|PA
TMW_5117|#5117Cape Cod Mall|TMW|TMW_N|TMW_N3|TMW_N302|Brick & Mortar|Open|Hyannis|MA
TMW_2274|#2274 Riverbank, Ca|TMW|TMW_W|TMW_W1|TMW_W101|Brick & Mortar|Open|Riverbank|CA
TMW_1405|#1405 Monroe, La|TMW|TMW_S|TMW_S4|TMW_S405|Brick & Mortar|Open|Monroe|LA
TMW_4312|#4312Markland Mall|TMW|TMW_S|TMW_S3|TMW_S302|Brick & Mortar|Open|Kokomo|IN
TMW_1205|#1205 Sherman Commons|TMW|TMW_S|TMW_S5|TMW_S504|Brick & Mortar|Open|Sherman|TX
